factor,performance_begin,performance_clockDuration,performance_duration,performance_end,performance_realTimeFactor,performance_traciDuration,vehicleTripStatistics_count,vehicleTripStatistics_departDelay,vehicleTripStatistics_departDelayWaiting,vehicleTripStatistics_duration,vehicleTripStatistics_routeLength,vehicleTripStatistics_speed,vehicleTripStatistics_timeLoss,vehicleTripStatistics_totalDepartDelay,vehicleTripStatistics_totalTravelTime,vehicleTripStatistics_waitingTime,vehicles_inserted
0.5,600.00,0.11,1800.00,2400.00,16981.13,5.57,205,0.04,-1.00,62.01,597.81,9.75,7.37,8.00,12712.00,0.70,213
0.6,600.00,0.12,1800.00,2400.00,14516.13,3.41,248,0.04,-1.00,62.66,597.39,9.66,7.66,9.00,15540.00,0.72,256
0.7,600.00,0.15,1800.00,2400.00,12413.79,3.43,290,0.01,-1.00,63.14,601.85,9.63,7.86,2.00,18312.00,0.77,300
0.8,600.00,0.16,1800.00,2400.00,11250.00,0.55,329,0.01,-1.00,63.00,597.31,9.61,7.98,5.00,20728.00,0.79,344
0.9,600.00,0.18,1800.00,2400.00,10169.49,3.02,372,0.07,-1.00,63.41,598.26,9.57,8.07,26.00,23589.00,0.79,383
1.0,600.00,0.20,1800.00,2400.00,9183.67,1.11,412,0.07,-1.00,63.51,598.93,9.56,8.39,28.00,26166.00,0.87,426
1.1,600.00,0.22,1800.00,2400.00,8372.09,5.46,457,0.05,-1.00,63.41,596.73,9.53,8.41,22.00,28980.00,0.91,472
1.2,600.00,0.23,1800.00,2400.00,7894.74,1.89,496,0.08,-1.00,63.62,597.32,9.51,8.49,40.00,31554.00,0.91,511
1.3,600.00,0.25,1800.00,2400.00,7142.86,2.78,545,0.02,-1.00,64.71,601.87,9.45,9.20,11.00,35267.00,0.94,565
1.4,600.00,0.27,1800.00,2400.00,6593.41,2.06,590,0.08,-1.00,64.72,603.59,9.44,9.16,48.00,38182.00,0.99,611
1.5,600.00,0.28,1800.00,2400.00,6382.98,1.53,618,0.11,-1.00,64.26,597.47,9.42,9.22,71.00,39711.00,0.96,641
1.6,600.00,0.31,1800.00,2400.00,5901.64,5.24,672,0.05,-1.00,64.69,597.96,9.37,9.59,33.00,43475.00,1.05,696
1.7,600.00,0.33,1800.00,2400.00,5521.47,0.00,722,0.04,-1.00,64.73,595.66,9.34,9.77,33.00,46736.00,1.04,748
1.8,600.00,0.34,1800.00,2400.00,5341.25,7.32,750,0.09,-1.00,64.69,596.62,9.36,9.77,64.00,48515.00,1.07,774
1.9,600.00,0.36,1800.00,2400.00,5000.00,1.92,799,0.13,-1.00,65.30,596.81,9.26,10.44,103.00,52173.00,1.26,828
2.0,600.00,0.37,1800.00,2400.00,4851.75,2.18,831,0.08,-1.00,65.69,597.27,9.23,10.72,70.00,54585.00,1.20,859
2.1,600.00,0.41,1800.00,2400.00,4433.50,3.97,895,0.04,-1.00,66.42,597.62,9.15,11.59,37.00,59447.00,1.36,930
2.2,600.00,0.42,1800.00,2400.00,4285.71,1.06,927,0.09,-1.00,66.21,596.73,9.15,11.44,83.00,61381.00,1.39,962
2.3,600.00,0.56,1800.00,2400.00,3231.60,2.84,984,0.08,-1.00,82.66,592.80,8.11,28.28,78.00,81333.00,2.36,1039
2.4,600.00,0.52,1800.00,2400.00,3481.62,0.78,1020,0.09,-1.00,74.27,592.52,8.51,19.96,87.00,75754.00,1.94,1074
2.5,600.00,0.57,1800.00,2400.00,3163.44,3.64,1019,0.65,-1.00,82.21,593.01,8.11,27.74,660.00,83775.00,2.28,1079
2.6,600.00,0.69,1800.00,2400.00,2620.09,0.80,1027,38.27,-1.00,97.37,595.65,7.42,42.66,39309.00,100001.00,2.72,1094
2.7,600.00,0.70,1800.00,2400.00,2578.80,1.21,1071,36.00,-1.00,94.77,582.64,7.48,41.27,38552.00,101503.00,2.83,1134
2.8,600.00,0.72,1800.00,2400.00,2486.19,4.52,1110,32.43,-1.00,95.80,587.25,7.31,41.91,35997.00,106333.00,2.85,1175
2.9,600.00,0.73,1800.00,2400.00,2452.32,1.15,1108,37.38,-1.00,97.83,587.04,7.24,43.88,41422.00,108396.00,2.88,1177
3.0,600.00,0.79,1800.00,2400.00,2278.48,2.66,1118,40.40,-1.00,104.96,582.66,6.84,51.43,45163.00,117349.00,3.92,1193
3.1,600.00,0.90,1800.00,2400.00,1995.57,4.73,1172,68.12,-1.00,111.46,573.30,6.59,58.89,79839.00,130635.00,3.61,1264
3.2,600.00,0.93,1800.00,2400.00,1927.19,0.05,1165,64.67,-1.00,116.46,572.11,6.49,63.95,75335.00,135680.00,3.30,1266
3.3,600.00,0.90,1800.00,2400.00,2000.00,0.00,1168,67.30,-1.00,112.09,572.25,6.67,59.64,78606.00,130923.00,3.06,1262
3.4,600.00,0.99,1800.00,2400.00,1823.71,1.63,1197,78.13,-1.00,117.54,571.16,6.45,65.22,93518.00,140697.00,4.61,1300
3.5,600.00,1.07,1800.00,2400.00,1690.14,0.96,1202,76.50,-1.00,128.93,572.21,6.32,76.36,91958.00,154974.00,3.82,1316
3.6,600.00,1.08,1800.00,2400.00,1660.52,2.62,1193,76.84,-1.00,132.32,570.66,6.28,80.05,91671.00,157860.00,4.11,1312
3.7,600.00,1.21,1800.00,2400.00,1490.07,2.60,1245,93.14,-1.00,132.92,559.14,5.50,81.61,115955.00,165486.00,4.33,1372
3.8,600.00,1.22,1800.00,2400.00,1471.79,0.06,1264,94.45,-1.00,134.56,555.55,5.71,83.61,119391.00,170080.00,3.84,1392
3.9,600.00,1.36,1800.00,2400.00,1327.43,0.00,1271,107.82,-1.00,144.38,556.22,5.18,93.33,137043.00,183514.00,4.40,1402
4.0,600.00,1.31,1800.00,2400.00,1370.91,4.15,1290,102.84,-1.00,137.50,553.36,5.72,86.71,132663.00,177374.00,4.17,1413
4.1,600.00,1.35,1800.00,2400.00,1332.35,5.04,1296,104.11,-1.00,140.50,556.84,5.68,89.37,134930.00,182090.00,4.16,1423
4.2,600.00,1.35,1800.00,2400.00,1331.36,2.77,1303,101.89,-1.00,141.30,560.45,5.48,89.75,132760.00,184120.00,4.37,1434
4.3,600.00,1.40,1800.00,2400.00,1286.63,2.70,1287,105.02,-1.00,145.09,558.57,5.28,93.73,135160.00,186730.00,4.70,1417
4.4,600.00,1.44,1800.00,2400.00,1248.27,3.20,1277,108.57,-1.00,148.81,555.43,5.41,97.64,138639.00,190029.00,4.84,1408
4.5,600.00,1.46,1800.00,2400.00,1234.57,1.04,1299,111.26,-1.00,150.59,559.28,5.01,99.08,144523.00,195614.00,4.59,1429
4.6,600.00,1.77,1800.00,2400.00,1014.66,3.89,1301,188.47,-1.00,152.64,565.24,4.93,100.81,245196.00,198582.00,4.32,1429
4.7,600.00,1.90,1800.00,2400.00,949.37,5.48,1311,194.38,-1.00,152.05,558.71,4.99,100.86,254836.00,199344.00,5.07,1445
4.8,600.00,1.90,1800.00,2400.00,945.38,1.39,1323,196.30,-1.00,150.99,560.27,4.95,99.41,259708.00,199764.00,4.72,1455
4.9,600.00,1.92,1800.00,2400.00,935.55,1.59,1299,201.23,-1.00,153.55,565.15,4.86,101.45,261393.00,199463.00,5.54,1429
5.0,600.00,1.90,1800.00,2400.00,946.87,1.94,1318,191.76,-1.00,152.34,558.66,4.94,101.05,252747.00,200792.00,4.80,1449
